id,code,name,name_th,province_id,created_at,updated_at
1,1001,Phra Nakhon,เขต พระนคร,1,32:06.2,32:06.2
2,1002,Dusit,เขต ดุสิต,1,32:06.2,32:06.2
3,1003,Nong Chok,เขต หนองจอก,1,32:06.2,32:06.2
4,1004,Bang Rak,เขต บางรัก,1,32:06.2,32:06.2
5,1005,Bang Khen,เขต บางเขน,1,32:06.2,32:06.2
6,1006,Bang Kapi,เขต บางกะปิ,1,32:06.2,32:06.2
7,1007,Pathum Wan,เขต ปทุมวัน,1,32:06.2,32:06.2
8,1008,Pom Prap Sattruphai,เขต ป้อมปราบศัตรูพ่าย,1,32:06.2,32:06.2
9,1009,Phra Khanong,เขต พระโขนง,1,32:06.2,32:06.2
10,1010,Min Buri,เขต มีนบุรี,1,32:06.2,32:06.2
11,1011,Lat Krabang,เขต ลาดกระบัง,1,32:06.2,32:06.2
12,1012,Yannawa,เขต ยานนาวา,1,32:06.2,32:06.2
13,1013,Samphanthawong,เขต สัมพันธวงศ์,1,32:06.2,32:06.2
14,1014,Phaya Thai,เขต พญาไท,1,32:06.2,32:06.2
15,1015,Thon Buri,เขต ธนบุรี,1,32:06.2,32:06.2
16,1016,Bangkok Yai,เขต บางกอกใหญ่,1,32:06.2,32:06.2
17,1017,Huai Khwang,เขต ห้วยขวาง,1,32:06.2,32:06.2
18,1018,Khlong San,เขต คลองสาน,1,32:06.2,32:06.2
19,1019,Taling Chan,เขต ตลิ่งชัน,1,32:06.2,32:06.2
20,1020,Bangkok Noi,เขต บางกอกน้อย,1,32:06.2,32:06.2
21,1021,Bang Khun Thian,เขต บางขุนเทียน,1,32:06.2,32:06.2
22,1022,Phasi Charoen,เขต ภาษีเจริญ,1,32:06.2,32:06.2
23,1023,Nong Khaem,เขต หนองแขม,1,32:06.2,32:06.2
24,1024,Rat Burana,เขต ราษฎร์บูรณะ,1,32:06.2,32:06.2
25,1025,Bang Phlat,เขต บางพลัด,1,32:06.2,32:06.2
26,1026,Din Daeng,เขต ดินแดง,1,32:06.2,32:06.2
27,1027,Bung Kum,เขต บึงกุ่ม,1,32:06.2,32:06.2
28,1028,Sa Thon,เขต สาทร,1,32:06.2,32:06.2
29,1029,Bang Su,เขต บางซื่อ,1,32:06.2,32:06.2
30,1030,Chatuchak,เขต จตุจักร,1,32:06.2,32:06.2
31,1031,Bang Kho Laem,เขต บางคอแหลม,1,32:06.2,32:06.2
32,1032,Prawet,เขต ประเวศ,1,32:06.2,32:06.2
33,1033,Khlong Toei,เขต คลองเตย,1,32:06.2,32:06.2
34,1034,Suan Luang,เขต สวนหลวง,1,32:06.2,32:06.2
35,1035,Chom Thong,เขต จอมทอง,1,32:06.2,32:06.2
36,1036,Don Mueang,เขต ดอนเมือง,1,32:06.2,32:06.2
37,1037,Rat Thewi,เขต ราชเทวี,1,32:06.2,32:06.2
38,1038,Lat Phrao,เขต ลาดพร้าว,1,32:06.2,32:06.2
39,1039,Watthana,เขต วัฒนา,1,32:06.2,32:06.2
40,1040,Bang Khae,เขต บางแค,1,32:06.2,32:06.2
41,1041,Lak Si,เขต หลักสี่,1,32:06.2,32:06.2
42,1042,Sai Mai,เขต สายไหม,1,32:06.2,32:06.2
43,1043,Khanna Yao,เขต คันนายาว,1,32:06.2,32:06.2
44,1044,Saphan Sung,เขต สะพานสูง,1,32:06.2,32:06.2
45,1045,Wang Thong Lang,เขต วังทองหลาง,1,32:06.2,32:06.2
46,1046,Khlong Sam Wa,เขต คลองสามวา,1,32:06.2,32:06.2
47,1047,Bang Na,เขต บางนา,1,32:06.2,32:06.2
48,1048,Thawi Watthana,เขต ทวีวัฒนา,1,32:06.2,32:06.2
49,1049,Thung Khu,เขต ทุ่งครุ,1,32:06.2,32:06.2
50,1050,Bang Bon,เขต บางบอน,1,32:06.2,32:06.2
51,1101,Mueang Samut Prakan,เมืองสมุทรปราการ,2,32:06.2,32:06.2
52,1102,Bang Bo,บางบ่อ,2,32:06.2,32:06.2
53,1103,Bang Phli,บางพลี,2,32:06.2,32:06.2
54,1104,Phra Pradaeng,พระประแดง,2,32:06.2,32:06.2
55,1105,Phra Samut Chedi,พระสมุทรเจดีย์,2,32:06.2,32:06.2
56,1106,Bang Sao Thong,บางเสาธง,2,32:06.2,32:06.2
57,1201,Mueang Nonthaburi,เมืองนนทบุรี,3,32:06.2,32:06.2
58,1202,Bang Kruai,บางกรวย,3,32:06.2,32:06.2
59,1203,Bang Yai,บางใหญ่,3,32:06.2,32:06.2
60,1204,Bang Bua Thong,บางบัวทอง,3,32:06.2,32:06.2
61,1205,Sai Noi,ไทรน้อย,3,32:06.2,32:06.2
62,1206,Pak Kret,ปากเกร็ด,3,32:06.2,32:06.2
63,1301,Mueang Pathum Thani,เมืองปทุมธานี,4,32:06.2,32:06.2
64,1302,khlong Luang,คลองหลวง,4,32:06.2,32:06.2
65,1303,Thanyaburi,ธัญบุรี,4,32:06.2,32:06.2
66,1304,Nong Suea,หนองเสือ,4,32:06.2,32:06.2
67,1305,Lat Lum Kaeo,ลาดหลุมแก้ว,4,32:06.2,32:06.2
68,1306,Lam Luk Ka,ลำลูกกา,4,32:06.2,32:06.2
69,1307,Sam Khok,สามโคก,4,32:06.2,32:06.2
70,1401,Phra Nakhon Si Ayutthaya,พระนครศรีอยุธยา,5,32:06.2,32:06.2
71,1402,Tha Ruea,ท่าเรือ,5,32:06.2,32:06.2
72,1403,Nakhon Luang,นครหลวง,5,32:06.2,32:06.2
73,1404,Bang Sai,บางไทร,5,32:06.2,32:06.2
74,1405,Bang Ban,บางบาล,5,32:06.2,32:06.2
75,1406,Bang Pa-in,บางปะอิน,5,32:06.2,32:06.2
76,1407,Bang Pahan,บางปะหัน,5,32:06.2,32:06.2
77,1408,Phak Hai,ผักไห่,5,32:06.2,32:06.2
78,1409,Phachi,ภาชี,5,32:06.2,32:06.2
79,1410,Lat Bua Luang,ลาดบัวหลวง,5,32:06.2,32:06.2
80,1411,Wang Noi,วังน้อย,5,32:06.2,32:06.2
81,1412,Sena,เสนา,5,32:06.2,32:06.2
82,1413,Bang Sai,บางซ้าย,5,32:06.2,32:06.2
83,1414,Uthai,อุทัย,5,32:06.2,32:06.2
84,1415,Maha Rat,มหาราช,5,32:06.2,32:06.2
85,1416,Ban Phraek,บ้านแพรก,5,32:06.2,32:06.2
86,1501,Mueang Ang Thong,เมืองอ่างทอง,6,32:06.2,32:06.2
87,1502,Chaiyo,ไชโย,6,32:06.2,32:06.2
88,1503,Pa Mok,ป่าโมก,6,32:06.2,32:06.2
89,1504,Pho Thong,โพธิ์ทอง,6,32:06.2,32:06.2
90,1505,Sawaeng Ha,แสวงหา,6,32:06.2,32:06.2
91,1506,Wiset Chai Chan,วิเศษชัยชาญ,6,32:06.2,32:06.2
92,1507,Samko,สามโก้,6,32:06.2,32:06.2
93,1601,Mueang Lop Buri,เมืองลพบุรี,7,32:06.2,32:06.2
94,1602,Phatthana Nikhom,พัฒนานิคม,7,32:06.2,32:06.2
95,1603,Khok Samrong,โคกสำโรง,7,32:06.2,32:06.2
96,1604,Chai Badan,ชัยบาดาล,7,32:06.2,32:06.2
97,1605,Tha Wung,ท่าวุ้ง,7,32:06.2,32:06.2
98,1606,Ban Mi,บ้านหมี่,7,32:06.2,32:06.2
99,1607,Tha Luang,ท่าหลวง,7,32:06.2,32:06.2
100,1608,Sa Bot,สระโบสถ์,7,32:06.2,32:06.2
101,1609,Khok Charoen,โคกเจริญ,7,32:06.2,32:06.2
102,1610,Lam Sonthi,ลำสนธิ,7,32:06.2,32:06.2
103,1611,Nong Muang,หนองม่วง,7,32:06.2,32:06.2
104,1701,Mueang Sing Buri,เมืองสิงห์บุรี,8,32:06.2,32:06.2
105,1702,Bang Rachan,บางระจัน,8,32:06.2,32:06.2
106,1703,Khai Bang Rachan,ค่ายบางระจัน,8,32:06.2,32:06.2
107,1704,Phrom Buri,พรหมบุรี,8,32:06.2,32:06.2
108,1705,Tha Chang,ท่าช้าง,8,32:06.2,32:06.2
109,1706,In Buri,อินทร์บุรี,8,32:06.2,32:06.2
110,1801,Mueang Chai Nat,เมืองชัยนาท,9,32:06.2,32:06.2
111,1802,Manorom,มโนรมย์,9,32:06.2,32:06.2
112,1803,Wat Sing,วัดสิงห์,9,32:06.2,32:06.2
113,1804,Sapphaya,สรรพยา,9,32:06.2,32:06.2
114,1805,Sankhaburi,สรรคบุรี,9,32:06.2,32:06.2
115,1806,Hankha,หันคา,9,32:06.2,32:06.2
116,1807,Nong Mamong,หนองมะโมง,9,32:06.2,32:06.2
117,1808,Noen Kham,เนินขาม,9,32:06.2,32:06.2
118,1901,Mueang Saraburi,เมืองสระบุรี,10,32:06.2,32:06.2
119,1902,Kaeng Khoi,แก่งคอย,10,32:06.2,32:06.2
120,1903,Nong Khae,หนองแค,10,32:06.2,32:06.2
121,1904,Wihan Daeng,วิหารแดง,10,32:06.2,32:06.2
122,1905,Nong Saeng,หนองแซง,10,32:06.2,32:06.2
123,1906,Ban Mo,บ้านหมอ,10,32:06.2,32:06.2
124,1907,Don Phut,ดอนพุด,10,32:06.2,32:06.2
125,1908,Nong Don,หนองโดน,10,32:06.2,32:06.2
126,1909,Phra Phutthabat,พระพุทธบาท,10,32:06.2,32:06.2
127,1910,Sao Hai,เสาไห้,10,32:06.2,32:06.2
128,1911,Muak Lek,มวกเหล็ก,10,32:06.2,32:06.2
129,1912,Wang Muang,วังม่วง,10,32:06.2,32:06.2
130,1913,Chaloem Phra Kiet,เฉลิมพระเกียรติ,10,32:06.2,32:06.2
131,2001,Mueang Chon Buri,เมืองชลบุรี,11,32:06.2,32:06.2
132,2002,Ban Bueng,บ้านบึง,11,32:06.2,32:06.2
133,2003,Nong Yai,หนองใหญ่,11,32:06.2,32:06.2
134,2004,Bang Lamung,บางละมุง,11,32:06.2,32:06.2
135,2005,Phan Thong,พานทอง,11,32:06.2,32:06.2
136,2006,Phanat Nikhom,พนัสนิคม,11,32:06.2,32:06.2
137,2007,Si Racha,ศรีราชา,11,32:06.2,32:06.2
138,2008,Ko Sichang,เกาะสีชัง,11,32:06.2,32:06.2
139,2009,Sattahip,สัตหีบ,11,32:06.2,32:06.2
140,2010,Bo Thong,บ่อทอง,11,32:06.2,32:06.2
141,2011,Ko Chan,เกาะจันทร์,11,32:06.2,32:06.2
142,2101,Mueang Rayong,เมืองระยอง,12,32:06.2,32:06.2
143,2102,Ban Chang,บ้านฉาง,12,32:06.2,32:06.2
144,2103,Klaeng,แกลง,12,32:06.2,32:06.2
145,2104,Wang Chan,วังจันทร์,12,32:06.2,32:06.2
146,2105,Ban Khai,บ้านค่าย,12,32:06.2,32:06.2
147,2106,Pluak Daeng,ปลวกแดง,12,32:06.2,32:06.2
148,2107,Khao Chamao,เขาชะเมา,12,32:06.2,32:06.2
149,2108,Nikhom Phatthana,นิคมพัฒนา,12,32:06.2,32:06.2
150,2201,Mueang Chanthaburi,เมืองจันทบุรี,13,32:06.2,32:06.2
151,2202,Khlung,ขลุง,13,32:06.2,32:06.2
152,2203,Tha Mai,ท่าใหม่,13,32:06.2,32:06.2
153,2204,Pong Nam Ron,โป่งน้ำร้อน,13,32:06.2,32:06.2
154,2205,Makham,มะขาม,13,32:06.2,32:06.2
155,2206,Laem Sing,แหลมสิงห์,13,32:06.2,32:06.2
156,2207,Soi Dao,สอยดาว,13,32:06.2,32:06.2
157,2208,Kaeng Hang Maeo,แก่งหางแมว,13,32:06.2,32:06.2
158,2209,Na Yai Am,นายายอาม,13,32:06.2,32:06.2
159,2210,Khao Khitchakut,เขาคิชฌกูฏ,13,32:06.2,32:06.2
160,2301,Mueang Trat,เมืองตราด,14,32:06.2,32:06.2
161,2302,Khlong Yai,คลองใหญ่,14,32:06.2,32:06.2
162,2303,Khao Saming,เขาสมิง,14,32:06.2,32:06.2
163,2304,Bo Rai,บ่อไร่,14,32:06.2,32:06.2
164,2305,Laem Ngop,แหลมงอบ,14,32:06.2,32:06.2
165,2306,Ko Kut,เกาะกูด,14,32:06.2,32:06.2
166,2307,Ko Chang,เกาะช้าง,14,32:06.2,32:06.2
167,2401,Mueang Chachoengsao,เมืองฉะเชิงเทรา,15,32:06.2,32:06.2
168,2402,Bang Khla,บางคล้า,15,32:06.2,32:06.2
169,2403,Bang Nam Priao,บางน้ำเปรี้ยว,15,32:06.2,32:06.2
170,2404,Bang Pakong,บางปะกง,15,32:06.2,32:06.2
171,2405,Ban Pho,บ้านโพธิ์,15,32:06.2,32:06.2
172,2406,Phanom Sarakham,พนมสารคาม,15,32:06.2,32:06.2
173,2407,Ratchasan,ราชสาส์น,15,32:06.2,32:06.2
174,2408,Sanam Chai Khet,สนามชัยเขต,15,32:06.2,32:06.2
175,2409,Pleang Yao,แปลงยาว,15,32:06.2,32:06.2
176,2410,Tha Takiap,ท่าตะเกียบ,15,32:06.2,32:06.2
177,2411,Khlong Khuean,คลองเขื่อน,15,32:06.2,32:06.2
178,2501,Mueang Prachin Buri,เมืองปราจีนบุรี,16,32:06.2,32:06.2
179,2502,Kabin Buri,กบินทร์บุรี,16,32:06.2,32:06.2
180,2503,Na Di,นาดี,16,32:06.2,32:06.2
181,2506,Ban Sang,บ้านสร้าง,16,32:06.2,32:06.2
182,2507,Prachantakham,ประจันตคาม,16,32:06.2,32:06.2
183,2508,Si Maha Phot,ศรีมหาโพธิ,16,32:06.2,32:06.2
184,2509,Si Mahosot,ศรีมโหสถ,16,32:06.2,32:06.2
185,2601,Mueang Nakhon Nayok,เมืองนครนายก,17,32:06.2,32:06.2
186,2602,Pak Phli,ปากพลี,17,32:06.2,32:06.2
187,2603,Ban Na,บ้านนา,17,32:06.2,32:06.2
188,2604,Ongkharak,องครักษ์,17,32:06.2,32:06.2
189,2701,Mueang Sa Kaeo,เมืองสระแก้ว,18,32:06.2,32:06.2
190,2702,Khlong Hat,คลองหาด,18,32:06.2,32:06.2
191,2703,Ta Phraya,ตาพระยา,18,32:06.2,32:06.2
192,2704,Wang Nam Yen,วังน้ำเย็น,18,32:06.2,32:06.2
193,2705,Watthana Nakhon,วัฒนานคร,18,32:06.2,32:06.2
194,2706,Aranyaprathet,อรัญประเทศ,18,32:06.2,32:06.2
195,2707,Khao Chakan,เขาฉกรรจ์,18,32:06.2,32:06.2
196,2708,Khok Sung,โคกสูง,18,32:06.2,32:06.2
197,2709,Wang Sombun,วังสมบูรณ์,18,32:06.2,32:06.2
198,3001,Mueang Nakhon Ratchasima,เมืองนครราชสีมา,19,32:06.2,32:06.2
199,3002,Khon Buri,ครบุรี,19,32:06.2,32:06.2
200,3003,Soeng Sang,เสิงสาง,19,32:06.2,32:06.2
201,3004,Khong,คง,19,32:06.2,32:06.2
202,3005,Ban Lueam,บ้านเหลื่อม,19,32:06.2,32:06.2
203,3006,Chakkarat,จักราช,19,32:06.2,32:06.2
204,3007,Chok Chai,โชคชัย,19,32:06.2,32:06.2
205,3008,Dan Khun Thot,ด่านขุนทด,19,32:06.2,32:06.2
206,3009,Non Thai,โนนไทย,19,32:06.2,32:06.2
207,3010,Non Sung,โนนสูง,19,32:06.2,32:06.2
208,3011,Kham Sakaesaeng,ขามสะแกแสง,19,32:06.2,32:06.2
209,3012,Bua Yai,บัวใหญ่,19,32:06.2,32:06.2
210,3013,Prathai,ประทาย,19,32:06.2,32:06.2
211,3014,Pak Thong Chai,ปักธงชัย,19,32:06.2,32:06.2
212,3015,Phimai,พิมาย,19,32:06.2,32:06.2
213,3016,Huai Thalaeng,ห้วยแถลง,19,32:06.2,32:06.2
214,3017,Chum Phuang,ชุมพวง,19,32:06.2,32:06.2
215,3018,Sung Noen,สูงเนิน,19,32:06.2,32:06.2
216,3019,Kham Thale So,ขามทะเลสอ,19,32:06.2,32:06.2
217,3020,Si Khio,สีคิ้ว,19,32:06.2,32:06.2
218,3021,Pak Chong,ปากช่อง,19,32:06.2,32:06.2
219,3022,Nong Bunmak,หนองบุญมาก,19,32:06.2,32:06.2
220,3023,Kaeng Sanam Nang,แก้งสนามนาง,19,32:06.2,32:06.2
221,3024,Non Daeng,โนนแดง,19,32:06.2,32:06.2
222,3025,Wang Nam Khiao,วังน้ำเขียว,19,32:06.2,32:06.2
223,3026,Thepharak,เทพารักษ์,19,32:06.2,32:06.2
224,3027,Mueang Yang,เมืองยาง,19,32:06.2,32:06.2
225,3028,Phra Thong Kham,พระทองคำ,19,32:06.2,32:06.2
226,3029,Lamtaman Chai,ลำทะเมนชัย,19,32:06.2,32:06.2
227,3030,Bua Lai,บัวลาย,19,32:06.2,32:06.2
228,3031,Sida,สีดา,19,32:06.2,32:06.2
229,3032,Chaloem Phra Kiet,เฉลิมพระเกียรติ,19,32:06.2,32:06.2
230,3101,Mueang Buri Ram,เมืองบุรีรัมย์,20,32:06.2,32:06.2
231,3102,Khu Mueang,คูเมือง,20,32:06.2,32:06.2
232,3103,Krasang,กระสัง,20,32:06.2,32:06.2
233,3104,Nang Rong,นางรอง,20,32:06.2,32:06.2
234,3105,Nong Ki,หนองกี่,20,32:06.2,32:06.2
235,3106,Lahan Sai,ละหานทราย,20,32:06.2,32:06.2
236,3107,Prakhon Chai,ประโคนชัย,20,32:06.2,32:06.2
237,3108,Ban Kruat,บ้านกรวด,20,32:06.2,32:06.2
238,3109,Phutthaisong,พุทไธสง,20,32:06.2,32:06.2
239,3110,Lam Plai Mat,ลำปลายมาศ,20,32:06.2,32:06.2
240,3111,Satuek,สตึก,20,32:06.2,32:06.2
241,3112,Pakham,ปะคำ,20,32:06.2,32:06.2
242,3113,Na Pho,นาโพธิ์,20,32:06.2,32:06.2
243,3114,Nong Hong,หนองหงส์,20,32:06.2,32:06.2
244,3115,Phlapphla Chai,พลับพลาชัย,20,32:06.2,32:06.2
245,3116,Huai Rat,ห้วยราช,20,32:06.2,32:06.2
246,3117,Non Din Daeng,โนนสุวรรณ,20,32:06.2,32:06.2
247,3118,Chamni,ชำนิ,20,32:06.2,32:06.2
248,3119,Ban Mai Chaiyaphot,บ้านใหม่ไชยพจน์,20,32:06.2,32:06.2
249,3120,Non Din Daeng,โนนดินแดง,20,32:06.2,32:06.2
250,3121,Ban Dan,บ้านด่าน,20,32:06.2,32:06.2
251,3122,Khaen Dong,แคนดง,20,32:06.2,32:06.2
252,3123,Chaloem Phra Kiet,เฉลิมพระเกียรติ,20,32:06.2,32:06.2
253,3201,Mueang Surin,เมืองสุรินทร์,21,32:06.2,32:06.2
254,3202,Chumphon Buri,ชุมพลบุรี,21,32:06.2,32:06.2
255,3203,Tha Tum,ท่าตูม,21,32:06.2,32:06.2
256,3204,Chom Phra,จอมพระ,21,32:06.2,32:06.2
257,3205,Prasat,ปราสาท,21,32:06.2,32:06.2
258,3206,Kap Choeng,กาบเชิง,21,32:06.2,32:06.2
259,3207,Rattanaburi,รัตนบุรี,21,32:06.2,32:06.2
260,3208,Sanom,สนม,21,32:06.2,32:06.2
261,3209,Sikhoraphum,ศีขรภูมิ,21,32:06.2,32:06.2
262,3210,Sangkha,สังขะ,21,32:06.2,32:06.2
263,3211,Lamduan,ลำดวน,21,32:06.2,32:06.2
264,3212,Samrong Thap,สำโรงทาบ,21,32:06.2,32:06.2
265,3213,Buachet,บัวเชด,21,32:06.2,32:06.2
266,3214,Phanom Dong Rak,พนมดงรัก,21,32:06.2,32:06.2
267,3215,Si Narong,ศรีณรงค์,21,32:06.2,32:06.2
268,3216,Khwao Sinarin,เขวาสินรินทร์,21,32:06.2,32:06.2
269,3217,Non Narai,โนนนารายณ์,21,32:06.2,32:06.2
270,3301,Mueang Si Sa Ket,เมืองศรีสะเกษ,22,32:06.2,32:06.2
271,3302,Yang Chum Noi,ยางชุมน้อย,22,32:06.2,32:06.2
272,3303,Kanthararom,กันทรารมย์,22,32:06.2,32:06.2
273,3304,Kantharalak,กันทรลักษ์,22,32:06.2,32:06.2
274,3305,Khukhan,ขุขันธ์,22,32:06.2,32:06.2
275,3306,Phrai Bueng,ไพรบึง,22,32:06.2,32:06.2
276,3307,Prang Ku,ปรางค์กู่,22,32:06.2,32:06.2
277,3308,Khun Han,ขุนหาญ,22,32:06.2,32:06.2
278,3309,Rasi Salai,ราษีไศล,22,32:06.2,32:06.2
279,3310,Uthumphon Phisai,อุทุมพรพิสัย,22,32:06.2,32:06.2
280,3311,Bueng Bun,บึงบูรพ์,22,32:06.2,32:06.2
281,3312,Huai Thap Than,ห้วยทับทัน,22,32:06.2,32:06.2
282,3313,Non Khun,โนนคูณ,22,32:06.2,32:06.2
283,3314,Si Rattana,ศรีรัตนะ,22,32:06.2,32:06.2
284,3315,Nam Kliang,น้ำเกลี้ยง,22,32:06.2,32:06.2
285,3316,Wang Hin,วังหิน,22,32:06.2,32:06.2
286,3317,Phu Sing,ภูสิงห์,22,32:06.2,32:06.2
287,3318,Mueang Chan,เมืองจันทร์,22,32:06.2,32:06.2
288,3319,Benchalak,เบญจลักษ์,22,32:06.2,32:06.2
289,3320,Phayu,พยุห์,22,32:06.2,32:06.2
290,3321,Pho Si Suwan,โพธิ์ศรีสุวรรณ,22,32:06.2,32:06.2
291,3322,Sila Lat,ศิลาลาด,22,32:06.2,32:06.2
292,3401,Mueang Ubon Ratchathani,เมืองอุบลราชธานี,23,32:06.2,32:06.2
293,3402,Si Mueang Mai,ศรีเมืองใหม่,23,32:06.2,32:06.2
294,3403,Khong Chiam,โขงเจียม,23,32:06.2,32:06.2
295,3404,Khueang Nai,เขื่องใน,23,32:06.2,32:06.2
296,3405,Khemarat,เขมราฐ,23,32:06.2,32:06.2
297,3407,Det Udom,เดชอุดม,23,32:06.2,32:06.2
298,3408,Na Chaluai,นาจะหลวย,23,32:06.2,32:06.2
299,3409,Nam Yuen,น้ำยืน,23,32:06.2,32:06.2
300,3410,Boontharik,บุณฑริก,23,32:06.2,32:06.2
301,3411,Trakan Phuet Phon,ตระการพืชผล,23,32:06.2,32:06.2
302,3412,Kut Khaopun,กุดข้าวปุ้น,23,32:06.2,32:06.2
303,3414,Muang Sam Sip,ม่วงสามสิบ,23,32:06.2,32:06.2
304,3415,Warin Chamrap,วารินชำราบ,23,32:06.2,32:06.2
305,3419,Phibun Mangsahan,พิบูลมังสาหาร,23,32:06.2,32:06.2
306,3420,Tan Sum,ตาลสุม,23,32:06.2,32:06.2
307,3421,Pho Sai,โพธิ์ไทร,23,32:06.2,32:06.2
308,3422,Samrong,สำโรง,23,32:06.2,32:06.2
309,3424,Don Mot Daeng,ดอนมดแดง,23,32:06.2,32:06.2
310,3425,Sirindhorn,สิรินธร,23,32:06.2,32:06.2
311,3426,Thung Si Udom,ทุ่งศรีอุดม,23,32:06.2,32:06.2
312,3429,Na Yia,นาเยีย,23,32:06.2,32:06.2
313,3430,Na Tan,นาตาล,23,32:06.2,32:06.2
314,3431,Lao Suea Kok,เหล่าเสือโก้ก,23,32:06.2,32:06.2
315,3432,Sawang Wirawong,สว่างวีระวงศ์,23,32:06.2,32:06.2
316,3433,Nam Khun,น้ำขุ่น,23,32:06.2,32:06.2
317,3501,Mueang Yasothon,เมืองยโสธร,24,32:06.2,32:06.2
318,3502,Sai Mun,ทรายมูล,24,32:06.2,32:06.2
319,3503,Kut Chum,กุดชุม,24,32:06.2,32:06.2
320,3504,Kham Khuean Kaeo,คำเขื่อนแก้ว,24,32:06.2,32:06.2
321,3505,Pa Tio,ป่าติ้ว,24,32:06.2,32:06.2
322,3506,Maha Chana Chai,มหาชนะชัย,24,32:06.2,32:06.2
323,3507,Kho Wang,ค้อวัง,24,32:06.2,32:06.2
324,3508,Loeng Nok Tha,เลิงนกทา,24,32:06.2,32:06.2
325,3509,Thai Charoen,ไทยเจริญ,24,32:06.2,32:06.2
326,3601,Mueang Chaiyaphum,เมืองชัยภูมิ,25,32:06.2,32:06.2
327,3602,Ban Khwao,บ้านเขว้า,25,32:06.2,32:06.2
328,3603,Khon Sawan,คอนสวรรค์,25,32:06.2,32:06.2
329,3604,Kaset Sombun,เกษตรสมบูรณ์,25,32:06.2,32:06.2
330,3605,Nong Bua Daeng,หนองบัวแดง,25,32:06.2,32:06.2
331,3606,Chatturat,จัตุรัส,25,32:06.2,32:06.2
332,3607,Bamnet Narong,บำเหน็จณรงค์,25,32:06.2,32:06.2
333,3608,Nong Bua Rawe,หนองบัวระเหว,25,32:06.2,32:06.2
334,3609,Thep Sathit,เทพสถิต,25,32:06.2,32:06.2
335,3610,Phu Khiao,ภูเขียว,25,32:06.2,32:06.2
336,3611,Ban Thaen,บ้านแท่น,25,32:06.2,32:06.2
337,3612,Kaeng Khro,แก้งคร้อ,25,32:06.2,32:06.2
338,3613,Khon San,คอนสาร,25,32:06.2,32:06.2
339,3614,Phakdi Chumphon,ภักดีชุมพล,25,32:06.2,32:06.2
340,3615,Noen Sa-nga,เนินสง่า,25,32:06.2,32:06.2
341,3616,Sap Yai,ซับใหญ่,25,32:06.2,32:06.2
342,3701,Mueang Amnat Charoen,เมืองอำนาจเจริญ,26,32:06.2,32:06.2
343,3702,Chanuman,ชานุมาน,26,32:06.2,32:06.2
344,3703,Pathum Ratchawongsa,ปทุมราชวงศา,26,32:06.2,32:06.2
345,3704,Phana,พนา,26,32:06.2,32:06.2
346,3705,Senangkhanikhom,เสนางคนิคม,26,32:06.2,32:06.2
347,3706,Hua Taphan,หัวตะพาน,26,32:06.2,32:06.2
348,3707,Lue Amnat,ลืออำนาจ,26,32:06.2,32:06.2
349,3801,Bueng Kan,บึงกาฬ,27,32:06.2,32:06.2
350,3802,Phon Charoen,พรเจริญ,27,32:06.2,32:06.2
351,3803,So Phisai,โซ่พิสัย,27,32:06.2,32:06.2
352,3804,Seka,เซกา,27,32:06.2,32:06.2
353,3805,Pak Khat,ปากคาด,27,32:06.2,32:06.2
354,3806,Bueng Khong Long,บึงโขงหลง,27,32:06.2,32:06.2
355,3807,Si Wilai,ศรีวิไล,27,32:06.2,32:06.2
356,3808,Bung Khla,บุ่งคล้า,27,32:06.2,32:06.2
357,3901,Mueang Nong Bua Lam Phu,เมืองหนองบัวลำภู,28,32:06.2,32:06.2
358,3902,Na Klang,นากลาง,28,32:06.2,32:06.2
359,3903,Non Sang,โนนสัง,28,32:06.2,32:06.2
360,3904,Si Bun Rueang,ศรีบุญเรือง,28,32:06.2,32:06.2
361,3905,Suwannakhuha,สุวรรณคูหา,28,32:06.2,32:06.2
362,3906,Na Wang,นาวัง,28,32:06.2,32:06.2
363,4001,Mueang Khon Kaen,เมืองขอนแก่น,29,32:06.2,32:06.2
364,4002,Ban Fang,บ้านฝาง,29,32:06.2,32:06.2
365,4003,Phra Yuen,พระยืน,29,32:06.2,32:06.2
366,4004,Nong Ruea,หนองเรือ,29,32:06.2,32:06.2
367,4005,Chum Phae,ชุมแพ,29,32:06.2,32:06.2
368,4006,Si Chomphu,สีชมพู,29,32:06.2,32:06.2
369,4007,Nam Phong,น้ำพอง,29,32:06.2,32:06.2
370,4008,Ubolratana,อุบลรัตน์,29,32:06.2,32:06.2
371,4009,Kranuan,กระนวน,29,32:06.2,32:06.2
372,4010,Ban Phai,บ้านไผ่,29,32:06.2,32:06.2
373,4011,Pueai Noi,เปือยน้อย,29,32:06.2,32:06.2
374,4012,Phon,พล,29,32:06.2,32:06.2
375,4013,Waeng Yai,แวงใหญ่,29,32:06.2,32:06.2
376,4014,Waeng Noi,แวงน้อย,29,32:06.2,32:06.2
377,4015,Nong Song Hong,หนองสองห้อง,29,32:06.2,32:06.2
378,4016,Phu Wiang,ภูเวียง,29,32:06.2,32:06.2
