id,code,name,name_th,post_code,district_id,created_at,updated_at
1,100101,Phra Borom Maha Ratchawang,พระบรมมหาราชวัง,10200,1,43:28.5,43:28.5
2,100102,Wang Burapha Phirom,วังบูรพาภิรมย์,10200,1,43:28.5,43:28.5
3,100103,Wat Ratchabophit,วัดราชบพิธ,10200,1,43:28.5,43:28.5
4,100104,Samran Rat,สำราญราษฎร์,10200,1,43:28.5,43:28.5
5,100105,San Chaopho Suea,ศาลเจ้าพ่อเสือ,10200,1,43:28.5,43:28.5
6,100106,Sao Chingcha,เสาชิงช้า,10200,1,43:28.5,43:28.5
7,100107,Bowon Niwet,บวรนิเวศ,10200,1,43:28.5,43:28.5
8,100108,Talat Yot,ตลาดยอด,10200,1,43:28.5,43:28.5
9,100109,Chana Songkhram,ชนะสงคราม,10200,1,43:28.5,43:28.5
10,100110,Ban Phan Thom,บ้านพานถม,10200,1,43:28.5,43:28.5
11,100111,Bang Khun Phrom,บางขุนพรหม,10200,1,43:28.5,43:28.5
12,100112,Wat Sam Phraya,วัดสามพระยา,10200,1,43:28.5,43:28.5
13,100201,Dusit,ดุสิต,10300,2,43:28.5,43:28.5
14,100202,Wachira Phayaban,วชิรพยาบาล,10300,2,43:28.5,43:28.5
15,100203,Suan Chit Lada,สวนจิตรลดา,10300,2,43:28.5,43:28.5
16,100204,Si Yaek Maha Nak,สี่แยกมหานาค,10300,2,43:28.5,43:28.5
17,100206,,ถนนนครไชยศรี,10300,2,43:28.5,43:28.5
18,100301,,กระทุ่มราย,10530,3,43:28.5,43:28.5
19,100302,,หนองจอก,10530,3,43:28.5,43:28.5
20,100303,,คลองสิบ,10530,3,43:28.5,43:28.5
21,100304,,คลองสิบสอง,10530,3,43:28.5,43:28.5
22,100305,,โคกแฝด,10530,3,43:28.5,43:28.5
23,100306,,คู้ฝั่งเหนือ,10530,3,43:28.5,43:28.5
24,100307,,ลำผักชี,10530,3,43:28.5,43:28.5
25,100308,,ลำต้อยติ่ง,10530,3,43:28.5,43:28.5
26,100401,,มหาพฤฒาราม,10500,4,43:28.5,43:28.5
27,100402,,สีลม,10500,4,43:28.5,43:28.5
28,100403,,สุริยวงศ์,10500,4,43:28.5,43:28.5
29,100404,,บางรัก,10500,4,43:28.5,43:28.5
30,100405,,สี่พระยา,10500,4,43:28.5,43:28.5
31,100502,,อนุสาวรีย์,10220,5,43:28.5,43:28.5
32,100508,,ท่าแร้ง,10220,5,43:28.5,43:28.5
33,100601,,คลองจั่น,10240,6,43:28.5,43:28.5
34,100608,,หัวหมาก,10240,6,43:28.5,43:28.5
35,100701,,รองเมือง,10330,7,43:28.5,43:28.5
36,100702,,วังใหม่,10330,7,43:28.5,43:28.5
37,100703,,ปทุมวัน,10330,7,43:28.5,43:28.5
38,100704,,ลุมพินี,10330,7,43:28.5,43:28.5
39,100801,,ป้อมปราบ,10100,8,43:28.5,43:28.5
40,100802,,วัดเทพศิรินทร์,10100,8,43:28.5,43:28.5
41,100803,,คลองมหานาค,10100,8,43:28.5,43:28.5
42,100804,,บ้านบาตร,10100,8,43:28.5,43:28.5
43,100805,,วัดโสมนัส,10100,8,43:28.5,43:28.5
44,100905,,บางจาก,10260,9,43:28.5,43:28.5
45,101001,,มีนบุรี,10510,10,43:28.5,43:28.5
46,101002,,แสนแสบ,10510,10,43:28.5,43:28.5
47,101101,,ลาดกระบัง,10520,11,43:28.5,43:28.5
48,101102,,คลองสองต้นนุ่น,10520,11,43:28.5,43:28.5
49,101103,,คลองสามประเวศ,10520,11,43:28.5,43:28.5
50,101104,,ลำปลาทิว,10520,11,43:28.5,43:28.5
51,101105,,ทับยาว,10520,11,43:28.5,43:28.5
52,101106,,ขุมทอง,10520,11,43:28.5,43:28.5
53,101203,,ช่องนนทรี,10120,12,43:28.5,43:28.5
54,101204,,บางโพงพาง,10120,12,43:28.5,43:28.5
55,101301,,จักรวรรดิ,10100,13,43:28.5,43:28.5
56,101302,,สัมพันธวงศ์,10100,13,43:28.5,43:28.5
57,101303,,ตลาดน้อย,10100,13,43:28.5,43:28.5
58,101401,,สามเสนใน,10400,14,43:28.5,43:28.5
59,101501,,วัดกัลยาณ์,10600,15,43:28.5,43:28.5
60,101502,,หิรัญรูจี,10600,15,43:28.5,43:28.5
61,101503,,บางยี่เรือ,10600,15,43:28.5,43:28.5
62,101504,,บุคคโล,10600,15,43:28.5,43:28.5
63,101505,,ตลาดพลู,10600,15,43:28.5,43:28.5
64,101601,,วัดอรุณ,10600,16,43:28.5,43:28.5
65,101602,,วัดท่าพระ,10600,16,43:28.5,43:28.5
66,101701,"
Huai Khwang",ห้วยขวาง,10310,17,43:28.5,43:28.5
67,101702,Bangkapi,บางกะปิ,10310,17,43:28.5,43:28.5
68,101704,"
Samsen Nok",สามเสนนอก,10310,17,43:28.5,43:28.5
69,101801,,สมเด็จเจ้าพระยา,10600,18,43:28.5,43:28.5
